puck_id,x_ofset,y_offset,z_offset
L1a_tile_1518,169045,654156,0
L1a_tile_1519,169045,690498,0
L1a_tile_1520,169045,726840,0
L1a_tile_1521,169045,763182,0
L1a_tile_1522,169045,799524,0
L1a_tile_1523,169045,835866,0
L1a_tile_1524,169045,872208,0
L1a_tile_1525,169045,908550,0
L1a_tile_1526,169045,944892,0
L1a_tile_1527,169045,981234,0
L1a_tile_1528,169045,1017576,0
L1a_tile_1529,169045,1053918,0
L1a_tile_1530,169045,1090260,0
L1a_tile_1531,169045,1126602,0
L1a_tile_1532,169045,1162944,0
L1a_tile_1533,169045,1199286,0
L1a_tile_1534,169045,1235628,0
L1a_tile_1535,169045,1271970,0
L1a_tile_1536,169045,1308312,0
L1a_tile_1537,169045,1344654,0
L1a_tile_1538,169045,1380996,0
L1a_tile_1539,169045,1417338,0
L1a_tile_1540,169045,1453680,0
L1a_tile_1541,169045,1490022,0
L1a_tile_1542,169045,1526364,0
L1a_tile_1543,169045,1562706,0
L1a_tile_1544,169045,1599048,0
L1a_tile_1545,169045,1635390,0
L1a_tile_1546,169045,1671732,0
L1a_tile_1547,169045,1708074,0
L1a_tile_1548,169045,1744416,0
L1a_tile_1549,169045,1780758,0
L1a_tile_1550,169045,1817100,0
L1a_tile_1551,169045,1853442,0
L1a_tile_1552,169045,1889784,0
L1a_tile_1553,169045,1926126,0
L1a_tile_1554,169045,1962468,0
L1a_tile_1555,169045,1998810,0
L1a_tile_1556,169045,2035152,0
L1a_tile_1557,169045,2071494,0
L1a_tile_1558,169045,2107836,0
L1a_tile_1559,169045,2144178,0
L1a_tile_1560,169045,2180520,0
L1a_tile_1561,169045,2216862,0
L1a_tile_1562,169045,2253204,0
L1a_tile_1563,169045,2289546,0
L1a_tile_1564,169045,2325888,0
L1a_tile_1565,169045,2362230,0
L1a_tile_1566,169045,2398572,0
L1a_tile_1567,169045,2434914,0
L1a_tile_1568,169045,2471256,0
L1a_tile_1569,169045,2507598,0
L1a_tile_1570,169045,2543940,0
L1a_tile_1571,169045,2580282,0
L1a_tile_1572,169045,2616624,0
L1a_tile_1573,169045,2652966,0
L1a_tile_1574,169045,2689308,0
L1a_tile_1575,169045,2725650,0
L1a_tile_1576,169045,2761992,0
L1a_tile_1577,169045,2798334,0
L1a_tile_1578,169045,2834676,0
L1a_tile_1601,202854,42543,0
L1a_tile_1602,202854,78885,0
L1a_tile_1603,202854,115227,0
L1a_tile_1604,202854,151569,0
L1a_tile_1605,202854,187911,0
L1a_tile_1606,202854,224253,0
L1a_tile_1607,202854,260595,0
L1a_tile_1608,202854,296937,0
L1a_tile_1609,202854,333279,0
L1a_tile_1610,202854,369621,0
L1a_tile_1611,202854,405963,0
L1a_tile_1612,202854,442305,0
L1a_tile_1613,202854,478647,0
L1a_tile_1614,202854,514989,0
L1a_tile_1615,202854,551331,0
L1a_tile_1616,202854,587673,0
L1a_tile_1617,202854,624015,0
L1a_tile_1618,202854,660357,0
L1a_tile_1619,202854,696699,0
L1a_tile_1620,202854,733041,0
L1a_tile_1621,202854,769383,0
L1a_tile_1622,202854,805725,0
L1a_tile_1623,202854,842067,0
L1a_tile_1624,202854,878409,0
L1a_tile_1625,202854,914751,0
L1a_tile_1626,202854,951093,0
L1a_tile_1627,202854,987435,0
L1a_tile_1628,202854,1023777,0
L1a_tile_1629,202854,1060119,0
L1a_tile_1630,202854,1096461,0
L1a_tile_1631,202854,1132803,0
L1a_tile_1632,202854,1169145,0
L1a_tile_1633,202854,1205487,0
L1a_tile_1634,202854,1241829,0
L1a_tile_1635,202854,1278171,0
L1a_tile_1636,202854,1314513,0
L1a_tile_1637,202854,1350855,0
L1a_tile_1638,202854,1387197,0
L1a_tile_1639,202854,1423539,0
L1a_tile_1640,202854,1459881,0
L1a_tile_1641,202854,1496223,0
L1a_tile_1642,202854,1532565,0
L1a_tile_1643,202854,1568907,0
L1a_tile_1644,202854,1605249,0
L1a_tile_1645,202854,1641591,0
L1a_tile_1646,202854,1677933,0
L1a_tile_1647,202854,1714275,0
L1a_tile_1648,202854,1750617,0
L1a_tile_1649,202854,1786959,0
L1a_tile_1650,202854,1823301,0
L1a_tile_1651,202854,1859643,0
L1a_tile_1652,202854,1895985,0
L1a_tile_1653,202854,1932327,0
L1a_tile_1654,202854,1968669,0
L1a_tile_1655,202854,2005011,0
L1a_tile_1656,202854,2041353,0
L1a_tile_1657,202854,2077695,0
L1a_tile_1658,202854,2114037,0
L1a_tile_1659,202854,2150379,0
L1a_tile_1660,202854,2186721,0
L1a_tile_1661,202854,2223063,0
L1a_tile_1662,202854,2259405,0
L1a_tile_1663,202854,2295747,0
L1a_tile_1664,202854,2332089,0
L1a_tile_1665,202854,2368431,0
L1a_tile_1666,202854,2404773,0
L1a_tile_1667,202854,2441115,0
L1a_tile_1668,202854,2477457,0
L1a_tile_1669,202854,2513799,0
L1a_tile_1670,202854,2550141,0
L1a_tile_1671,202854,2586483,0
L1a_tile_1672,202854,2622825,0
L1a_tile_1673,202854,2659167,0
L1a_tile_1674,202854,2695509,0
L1a_tile_1675,202854,2731851,0
L1a_tile_1676,202854,2768193,0
L1a_tile_1677,202854,2804535,0
L1a_tile_1678,202854,2840877,0
L1b_tile_2001,0,42543,0
L1b_tile_2002,0,78885,0
L1b_tile_2003,0,115227,0
L1b_tile_2004,0,151569,0
L1b_tile_2005,0,187911,0
L1b_tile_2006,0,224253,0
L1b_tile_2007,0,260595,0
L1b_tile_2008,0,296937,0
L1b_tile_2009,0,333279,0
L1b_tile_2010,0,369621,0
L1b_tile_2011,0,405963,0
L1b_tile_2012,0,442305,0
L1b_tile_2013,0,478647,0
L1b_tile_2014,0,514989,0
L1b_tile_2015,0,551331,0
L1b_tile_2016,0,587673,0
L1b_tile_2017,0,624015,0
L1b_tile_2018,0,660357,0
L1b_tile_2019,0,696699,0
L1b_tile_2020,0,733041,0
L1b_tile_2021,0,769383,0
L1b_tile_2022,0,805725,0
L1b_tile_2023,0,842067,0
L1b_tile_2024,0,878409,0
L1b_tile_2025,0,914751,0
L1b_tile_2026,0,951093,0
L1b_tile_2027,0,987435,0
L1b_tile_2028,0,1023777,0
L1b_tile_2029,0,1060119,0
L1b_tile_2030,0,1096461,0
L1b_tile_2031,0,1132803,0
L1b_tile_2032,0,1169145,0
L1b_tile_2033,0,1205487,0
L1b_tile_2034,0,1241829,0
L1b_tile_2035,0,1278171,0
L1b_tile_2036,0,1314513,0
L1b_tile_2037,0,1350855,0
L1b_tile_2038,0,1387197,0
L1b_tile_2039,0,1423539,0
L1b_tile_2040,0,1459881,0
L1b_tile_2041,0,1496223,0
L1b_tile_2042,0,1532565,0
L1b_tile_2043,0,1568907,0
L1b_tile_2044,0,1605249,0
L1b_tile_2045,0,1641591,0
L1b_tile_2046,0,1677933,0
L1b_tile_2047,0,1714275,0
L1b_tile_2048,0,1750617,0
L1b_tile_2049,0,1786959,0
L1b_tile_2050,0,1823301,0
L1b_tile_2051,0,1859643,0
L1b_tile_2052,0,1895985,0
L1b_tile_2053,0,1932327,0
L1b_tile_2054,0,1968669,0
L1b_tile_2055,0,2005011,0
L1b_tile_2056,0,2041353,0
L1b_tile_2057,0,2077695,0
L1b_tile_2058,0,2114037,0
L1b_tile_2059,0,2150379,0
L1b_tile_2060,0,2186721,0
L1b_tile_2061,0,2223063,0
L1b_tile_2062,0,2259405,0
L1b_tile_2063,0,2295747,0
L1b_tile_2064,0,2332089,0
L1b_tile_2065,0,2368431,0
L1b_tile_2066,0,2404773,0
L1b_tile_2067,0,2441115,0
L1b_tile_2068,0,2477457,0
L1b_tile_2069,0,2513799,0
L1b_tile_2070,0,2550141,0
L1b_tile_2071,0,2586483,0
L1b_tile_2072,0,2622825,0
L1b_tile_2073,0,2659167,0
L1b_tile_2074,0,2695509,0
L1b_tile_2075,0,2731851,0
L1b_tile_2076,0,2768193,0
L1b_tile_2077,0,2804535,0
L1b_tile_2078,0,2840877,0
L1b_tile_2101,33809,36342,0
L1b_tile_2102,33809,72684,0
L1b_tile_2103,33809,109026,0
L1b_tile_2104,33809,145368,0
L1b_tile_2105,33809,181710,0
L1b_tile_2106,33809,218052,0
L1b_tile_2107,33809,254394,0
L1b_tile_2108,33809,290736,0
L1b_tile_2109,33809,327078,0
L1b_tile_2110,33809,363420,0
L1b_tile_2111,33809,399762,0
L1b_tile_2112,33809,436104,0
L1b_tile_2113,33809,472446,0
L1b_tile_2114,33809,508788,0
L1b_tile_2115,33809,545130,0
L1b_tile_2116,33809,581472,0
L1b_tile_2117,33809,617814,0
L1b_tile_2118,33809,654156,0
L1b_tile_2119,33809,690498,0
L1b_tile_2120,33809,726840,0
L1b_tile_2121,33809,763182,0
L1b_tile_2122,33809,799524,0
L1b_tile_2123,33809,835866,0
L1b_tile_2124,33809,872208,0
L1b_tile_2125,33809,908550,0
L1b_tile_2126,33809,944892,0
L1b_tile_2127,33809,981234,0
L1b_tile_2128,33809,1017576,0
L1b_tile_2129,33809,1053918,0
L1b_tile_2130,33809,1090260,0
L1b_tile_2131,33809,1126602,0
L1b_tile_2132,33809,1162944,0
L1b_tile_2133,33809,1199286,0
L1b_tile_2134,33809,1235628,0
L1b_tile_2135,33809,1271970,0
L1b_tile_2136,33809,1308312,0
L1b_tile_2137,33809,1344654,0
L1b_tile_2138,33809,1380996,0
L1b_tile_2139,33809,1417338,0
L1b_tile_2140,33809,1453680,0
L1b_tile_2141,33809,1490022,0
L1b_tile_2142,33809,1526364,0
L1b_tile_2143,33809,1562706,0
L1b_tile_2144,33809,1599048,0
L1b_tile_2145,33809,1635390,0
L1b_tile_2146,33809,1671732,0
L1b_tile_2147,33809,1708074,0
L1b_tile_2148,33809,1744416,0
L1b_tile_2149,33809,1780758,0
L1b_tile_2150,33809,1817100,0
L1b_tile_2151,33809,1853442,0
L1b_tile_2152,33809,1889784,0
L1b_tile_2153,33809,1926126,0
L1b_tile_2154,33809,1962468,0
L1b_tile_2155,33809,1998810,0
L1b_tile_2156,33809,2035152,0
L1b_tile_2157,33809,2071494,0
L1b_tile_2158,33809,2107836,0
L1b_tile_2159,33809,2144178,0
L1b_tile_2160,33809,2180520,0
L1b_tile_2161,33809,2216862,0
L1b_tile_2162,33809,2253204,0
L1b_tile_2163,33809,2289546,0
L1b_tile_2164,33809,2325888,0
L1b_tile_2165,33809,2362230,0
L1b_tile_2166,33809,2398572,0
L1b_tile_2167,33809,2434914,0
L1b_tile_2168,33809,2471256,0
L1b_tile_2169,33809,2507598,0
L1b_tile_2170,33809,2543940,0
L1b_tile_2171,33809,2580282,0
L1b_tile_2172,33809,2616624,0
L1b_tile_2173,33809,2652966,0
L1b_tile_2174,33809,2689308,0
L1b_tile_2175,33809,2725650,0
L1b_tile_2176,33809,2761992,0
L1b_tile_2177,33809,2798334,0
L1b_tile_2178,33809,2834676,0
L1b_tile_2201,67618,42543,0
L1b_tile_2202,67618,78885,0
L1b_tile_2203,67618,115227,0
L1b_tile_2204,67618,151569,0
L1b_tile_2205,67618,187911,0
L1b_tile_2206,67618,224253,0
L1b_tile_2207,67618,260595,0
L1b_tile_2208,67618,296937,0
L1b_tile_2209,67618,333279,0
L1b_tile_2210,67618,369621,0
L1b_tile_2211,67618,405963,0
L1b_tile_2212,67618,442305,0
L1b_tile_2213,67618,478647,0
L1b_tile_2214,67618,514989,0
L1b_tile_2215,67618,551331,0
L1b_tile_2216,67618,587673,0
L1b_tile_2217,67618,624015,0
L1b_tile_2218,67618,660357,0
L1b_tile_2219,67618,696699,0
L1b_tile_2220,67618,733041,0
L1b_tile_2221,67618,769383,0
L1b_tile_2222,67618,805725,0
L1b_tile_2223,67618,842067,0
L1b_tile_2224,67618,878409,0
L1b_tile_2225,67618,914751,0
L1b_tile_2226,67618,951093,0
L1b_tile_2227,67618,987435,0
L1b_tile_2228,67618,1023777,0
L1b_tile_2229,67618,1060119,0
L1b_tile_2230,67618,1096461,0
L1b_tile_2231,67618,1132803,0
L1b_tile_2232,67618,1169145,0
L1b_tile_2233,67618,1205487,0
L1b_tile_2234,67618,1241829,0
L1b_tile_2235,67618,1278171,0
L1b_tile_2236,67618,1314513,0
L1b_tile_2237,67618,1350855,0
L1b_tile_2238,67618,1387197,0
L1b_tile_2239,67618,1423539,0
L1b_tile_2240,67618,1459881,0
L1b_tile_2241,67618,1496223,0
L1b_tile_2242,67618,1532565,0
L1b_tile_2243,67618,1568907,0
L1b_tile_2244,67618,1605249,0
L1b_tile_2245,67618,1641591,0
L1b_tile_2246,67618,1677933,0
L1b_tile_2247,67618,1714275,0
L1b_tile_2248,67618,1750617,0
L1b_tile_2249,67618,1786959,0
L1b_tile_2250,67618,1823301,0
L1b_tile_2251,67618,1859643,0
